Day,sex,mean_height,std_height,mean_weight,std_weight
140,0,65.138,2.09939774,7.3187,0.816620546
141,0,65.2027,2.100830994,7.335,0.8178525
142,0,65.2671,2.10160062,7.3512,0.8191442160000001
143,0,65.331,2.10235158,7.3673,0.820496201
144,0,65.3946,2.1037442819999996,7.3833,0.82176129
145,0,65.4579,2.104471485,7.3992,0.823013016
146,0,65.5208,2.105838512,7.415,0.8243255500000001
147,0,65.5834,2.1065388080000003,7.4307,0.825625077
148,0,65.6456,2.1072237599999997,7.4463,0.826837152
149,0,65.7075,2.108553675,7.4618,0.8281105639999999
150,0,65.769,2.1092118300000005,7.4772,0.8293710240000001
151,0,65.8303,2.1105194179999995,7.4925,0.8306934749999999
152,0,65.8912,2.111154048,7.5077,0.8319282370000001
153,0,65.9518,2.1124361540000005,7.5228,0.8331501
154,0,66.0121,2.113047321,7.5379,0.83444553
155,0,66.0721,2.1143072000000003,7.5528,0.83571732
156,0,66.1317,2.114891766,7.5677,0.8369119429999999
157,0,66.1911,2.116129467,7.5824,0.8381584959999999
158,0,66.2502,2.1173563920000005,7.5971,0.8394035790000001
159,0,66.3089,2.117906266,7.6117,0.840636148
160,0,66.3674,2.1191110820000003,7.6262,0.84193248
161,0,66.4256,2.119640896,7.6406,0.8431402100000001
162,0,66.4835,2.12082365,7.655,0.8444230500000001
163,0,66.5412,2.1219988680000004,7.6692,0.845605992
164,0,66.5985,2.1224941950000002,7.6834,0.846864348
165,0,66.6556,2.1236474160000003,7.6975,0.84811055
166,0,66.7125,2.1247931250000005,7.7115,0.8492674950000001
167,0,66.7691,2.1252604529999997,7.7255,0.850500295
168,0,66.8254,2.126384228,7.7394,0.8517209699999999
169,0,66.8815,2.127500515,7.7532,0.853007064
170,0,66.9373,2.12860614,7.7669,0.854203662
171,0,66.993,2.1297074699999996,7.7805,0.85538817
172,0,67.0483,2.130124491,7.7941,0.856649531
173,0,67.1035,2.1312071599999998,7.8076,0.8578210119999999
174,0,67.1584,2.1322792,7.821,0.8590586399999999
175,0,67.2132,2.1333469679999997,7.8344,0.86021712
176,0,67.2677,2.134404121,7.8477,0.861442029
177,0,67.3219,2.134777449,7.8609,0.862655166
178,0,67.376,2.1358192000000003,7.8741,0.863867511
179,0,67.4299,2.1368535310000003,7.8871,0.865057128
180,0,67.4836,2.1378804479999998,7.9002,0.8662569299999999
181,0,67.5371,2.1388999569999996,7.9131,0.867434022
182,0,67.5904,2.1399120640000002,7.926,0.86861034
183,0,67.6435,2.140916775,7.9389,0.869865273
184,0,67.6964,2.141914096,7.9516,0.871018264
185,0,67.7491,2.1429040329999998,7.9643,0.8721704929999999
186,0,67.8017,2.143889754,7.977,0.8734017300000001
187,0,67.8541,2.144868101,7.9895,0.87453067
188,0,67.9062,2.14583592,8.0021,0.875749824
189,0,67.9583,2.146802697,8.0145,0.87694659
190,0,68.0101,2.147758958,8.0269,0.87814286
191,0,68.0618,2.1487110260000004,8.0392,0.8792473039999998
192,0,68.1133,2.149655748,8.0515,0.8804315250000001
193,0,68.1647,2.1505962849999998,8.0637,0.8816043210000001
194,0,68.2158,2.151526332,8.0759,0.8827766290000001
195,0,68.2669,2.1524553570000005,8.0879,0.8839265909999999
196,0,68.3177,2.153373904,8.1,0.885087
197,0,68.3685,2.15497512,8.112,0.886236
198,0,68.419,2.1558826900000003,8.1239,0.8874548360000001
199,0,68.4695,2.15678925,8.1357,0.8885811539999999
200,0,68.5198,2.157688502,8.1475,0.8897070000000001
201,0,68.5699,2.1585804520000003,8.1593,0.8909139669999999
202,0,68.6199,2.159468253,8.171,0.89202807
203,0,68.6698,2.1610386059999995,8.1826,0.8931307900000001
204,0,68.7195,2.16191547,8.1942,0.8943149880000001
205,0,68.7691,2.1627881949999996,8.2058,0.895498954
206,0,68.8186,2.1636567840000005,8.2173,0.896589603
207,0,68.8679,2.165206776,8.2287,0.89775117
208,0,68.9171,2.166064453,8.2401,0.898830108
209,0,68.9662,2.166918004,8.2514,0.8999801980000001
210,0,69.0152,2.1677674319999998,8.2627,0.9011300620000001
211,0,69.0641,2.1693033809999998,8.2739,0.9022687949999999
212,0,69.1128,2.1701419199999994,8.2851,0.903324453
213,0,69.1615,2.170979485,8.2963,0.904462626
214,0,69.21,2.1725019,8.3074,0.9055896739999999
215,0,69.2584,2.173328592,8.3184,0.9067056
216,0,69.3067,2.1741511790000003,8.3294,0.907821306
217,0,69.3549,2.175663213,8.3404,0.908936792
218,0,69.4031,2.1764812159999996,8.3513,0.910041161
219,0,69.4511,2.177986496,8.3621,0.911134416
220,0,69.499,2.1787936500000002,8.3729,0.912227455
221,0,69.5468,2.179596712,8.3837,0.9133202779999999
222,0,69.5945,2.18109163,8.3944,0.9144859359999998
223,0,69.6421,2.1818869929999996,8.4051,0.9155675429999999
224,0,69.6896,2.1833751679999995,8.4157,0.9166380439999999
225,0,69.737,2.18416284,8.4263,0.917708333
226,0,69.7844,2.1856474080000003,8.4369,0.918862779
227,0,69.8316,2.1864273959999996,8.4474,0.91992186
228,0,69.8787,2.187902097,8.4578,0.9209698420000001
229,0,69.9258,2.18867754,8.4683,0.9221131869999999
230,0,69.9728,2.1901486400000003,8.4787,0.923160856
231,0,70.0197,2.190916413,8.489,0.92419743
232,0,70.0665,2.192380785,8.4993,0.9253187909999999
233,0,70.1132,2.1931408960000005,8.5096,0.926355056
234,0,70.1599,2.194601672,8.5198,0.927465428
235,0,70.2064,2.195354128,8.53,0.9284905
236,0,70.2529,2.196808183,8.5401,0.9295898850000001
237,0,70.2994,2.1975592440000002,8.5502,0.9306037680000001
238,0,70.3457,2.199006582,8.5603,0.931703052
239,0,70.392,2.20045392,8.5704,0.932802336
240,0,70.4382,2.20119375,8.5804,0.9338049319999999
241,0,70.4843,2.202634375,8.5903,0.9348823489999999
242,0,70.5304,2.204075,8.6003,0.9358846460000001
243,0,70.5764,2.204806736,8.6102,0.9369619640000001
244,0,70.6224,2.206243776,8.62,0.9380283999999999
245,0,70.6683,2.206971009,8.6299,0.9391057179999999
246,0,70.7141,2.2084013430000002,8.6397,0.940085757
247,0,70.7598,2.209828554,8.6494,0.9411412140000001
248,0,70.8055,2.2105477099999997,8.6592,0.9422075520000001
249,0,70.8511,2.211971342,8.6689,0.9432630090000002
250,0,70.8967,2.213394974,8.6785,0.944307585
251,0,70.9422,2.2148154840000003,8.6882,0.9452761599999999
252,0,70.9876,2.2155229960000002,8.6978,0.94632064
253,0,71.033,2.21693993,8.7073,0.9473542399999999
254,0,71.0783,2.218353743,8.7169,0.94839872
255,0,71.1235,2.2197644350000005,8.7264,0.9494323199999999
256,0,71.1687,2.22046344,8.7359,0.9504659200000001
257,0,71.2138,2.22187056,8.7453,0.95148864
258,0,71.2589,2.22327768,8.7548,0.9525222399999999
259,0,71.3039,2.2246816799999998,8.7642,0.95354496
260,0,71.3488,2.225369072,8.7735,0.9545568
261,0,71.3937,2.226769503,8.7829,0.9555795199999999
262,0,71.4385,2.2281668150000002,8.7922,0.9565913599999999
263,0,71.4832,2.2295610079999997,8.8015,0.9576032
264,0,71.5279,2.230955201,8.8107,0.95860416
265,0,71.5725,2.23163055,8.82,0.959616
266,0,71.6171,2.2330211779999996,8.8292,0.96061696
267,0,71.6616,2.2344086880000003,8.8384,0.9616179199999999
268,0,71.706,2.23579308,8.8475,0.9626079999999999
269,0,71.7504,2.237177472,8.8567,0.96360896
270,0,71.7947,2.2385587460000003,8.8658,0.96459904
271,0,71.839,2.2399400199999997,8.8748,0.96557824
272,0,71.8832,2.241318176,8.8839,0.966657159
